user,ascore,threat
AJQ0376,0.06173877457468002,1
AJR0231,0.06815919775367418,1
AOD0066,0.038865320082573485,1
ARH0777,0.09471950631199383,1
BCP0247,-0.11930422168728172,-1
BDS0396,0.024640069602723358,1
BMS0057,0.017206706167853802,1
BZK0095,0.127262519905268,1
CAE0080,0.10133351250679623,1
CGH0088,0.07223031621161635,1
CJG0059,0.0483322500829938,1
CJV0236,0.141397563583747,1
CSD0242,-0.01623684932906888,-1
DWC0525,0.06433253970510672,1
FED0275,0.03423979531746957,1
FKF0235,0.06840234851915405,1
GGM0530,0.12734286745433737,1
GJP0098,0.028372301634615016,1
HBB0090,0.0806720942183321,1
HNW0537,0.11357947330972223,1
HOJ0260,0.11049014535380264,1
IAF0403,-0.011054761769428989,-1
IUM0065,0.04883380744439719,1
JCE0258,0.08537109687332972,1
JDD0087,0.09772911764954845,1
JLI0073,0.11516023920081259,1
JNW0252,0.028959254073236962,1
JTB0079,0.10420455512862586,1
LEF0786,0.08737150438345542,1
LJW0776,-0.09260804115836463,-1
LTB0107,0.07047421633142281,1
LVL0958,0.02969449609639141,1
LWB0078,-0.045083023025999314,-1
MJH0083,0.022277937789997315,1
MPM0410,0.0627388902988601,1
MSB0359,0.09419817569370881,1
ORC0907,-0.015129744455375405,-1
QLC0248,-0.0575321233501388,-1
RAW0533,0.03165580510018984,1
REM0274,0.03789419321984644,1
SBM0063,-0.08138290881212851,-1
SHR0369,0.03416996809174078,1
TOC0528,0.0952154014987801,1
UMA0072,0.04271150869099105,1
WMP0272,0.04881192113034705,1
WXW0044,0.09203137155428609,1
ZBL0379,-0.013425453279192312,-1
