user,ascore,threat
AAN0077,0.10626028334002896,1
AAW0103,0.04632314182639197,1
ACE0265,0.08310279546323196,1
ACL0394,0.018016458998297957,1
ADR0362,0.11090910624865058,1
AEA0062,0.13755895868785017,1
AGD0524,0.11751654936733119,1
AGP0775,0.1316239383514617,1
AHS0228,0.14258090939106127,1
AJB0408,0.043245433133359046,1
AJH0366,0.09099438564002427,1
AJQ0376,0.12325142385927385,1
AJR0231,0.022647244550677015,1
ALC0100,-0.05527964681102915,-1
AMR0656,0.04086163442896418,1
AMW0097,0.06945730187249144,1
AOD0066,0.06611799543160168,1
AOP0898,0.06059863881135363,1
APH0382,0.080810329713627,1
ARH0777,0.055248771776107264,1
ASH0413,-0.007202623287628218,-1
AWW0784,0.12283037400250746,1
BBB0904,0.07477790951385,1
BCP0247,0.009836945116904361,1
BDS0396,0.018439073024986707,1
BER0398,0.040929519037486095,1
BFM0101,0.06795604653567694,1
BGZ0902,0.02332882308204376,1
BIT0900,0.11476104930318831,1
BKA0340,-0.003030950005079691,-1
BKA0532,0.0635619001731404,1
BMS0057,0.003540565720522637,1
BMT0903,0.11641869590946785,1
BNS0910,0.11935556439144773,1
BOK0261,0.09427591156051113,1
BPH0243,0.10041972940599936,1
BQK0526,0.11528455690791162,1
BRM0377,0.10187600394307794,1
BSH0402,0.036790913898562705,1
BSR0244,0.1224346748297857,1
BXJ0256,0.05533928762018758,1
BYN0338,0.11023910313645774,1
BZK0095,0.0631822020442091,1
BZV0067,0.03727548758259969,1
CAE0080,0.01956223727115458,1
CBD0092,0.09270707694544306,1
CCG0255,0.05062775994787927,1
CEP0238,0.10370552309931458,1
CFR0653,0.10684094441875358,1
CGH0088,0.025008847529697342,1
CGP0271,0.03354479830864587,1
CHG0404,0.037140817111062985,1
CJG0059,0.08910676968370262,1
CJV0236,0.1347524076693814,1
CMS0535,0.12663165887730998,1
CPM0659,0.05632314092971441,1
CQS0899,-0.09862634167883377,-1
CRL0906,0.12444419520790401,1
CSD0242,-0.002186632386615317,-1
CSW0531,0.07794969198654472,1
CUM0234,0.12861432916346377,1
DHB0086,0.06224480086378548,1
DJG0393,0.07736477181417978,1
DJH0245,0.10760954652204602,1
DJM0094,0.10901198130573392,1
DJS0406,-0.004349704073590588,-1
DNS0397,-0.006568002761247471,-1
DRH0268,0.05437294922286445,1
DWC0525,0.10360263766210875,1
DYB0399,-0.010826352236115833,-1
DYS0230,0.11876804310056727,1
EAD0651,0.10251913956831477,1
EBS0102,0.023173746808923368,1
EER0383,-0.013422410245434002,-1
EHK0070,0.042841591089205044,1
ERC0384,0.10803683322820162,1
ETK0783,0.098911635236405,1
FED0275,-0.1012673149388773,-1
FKC0253,0.044179696284548875,1
FKF0235,0.05938717660031528,1
FML0505,0.1044446051704861,1
GAP0262,0.12005285253897363,1
GBM0381,0.062331172776998345,1
GFM0250,-0.05253992221144643,-1
GGK0375,0.09545175597758443,1
GGM0530,0.10389360372242856,1
GJP0098,0.004620674656557133,1
GOG0650,0.12604470183258576,1
GXB0655,0.11261859227557414,1
HBB0090,0.08155493477517373,1
HBS0270,0.03424552621711208,1
HDH0266,0.08649822597016088,1
HGS0657,0.1266450320038865,1
HJB0227,0.07712248139436534,1
HKK0363,0.13431144606246165,1
HML0060,-0.036409218878250216,-1
HNW0537,0.055278266843270585,1
HOA0074,0.13001669367106727,1
HOJ0260,0.11029665762904767,1
HPL0787,-0.03312398798242466,-1
IAF0403,0.026659481706897026,1
INL0534,0.08149227075379473,1
IRW0076,0.10171406345470702,1
IUM0065,0.1050303463913056,1
IZR0263,0.1062948254164286,1
JAB0249,0.0571560720682856,1
JAF0755,0.08365838741471865,1
JCE0258,0.05375316975719546,1
JDD0087,0.048625172637071445,1
